number,lat,lon,region,city,wind,rain,temperature,date,probability
1,44.9482645,34.100117,Автономная Республика Крым,Симферополь,4,Без осадков,17,24.05.2021,24
2,53.3481145,83.7798362,Алтайский край,Барнаул,1,,22,24.05.2021,28
3,50.2905935,127.5272186,Амурская область,Благовещенск,2,,14,24.05.2021,22
4,64.5392985,40.5170083,Архангельская область,Архангельск,2,Без осадков,15,24.05.2021,26
5,46.3655808,48.0559979,Астраханская область,Астрахань,5,,20,24.05.2021,24
6,50.5977351,36.5858236,Белгородская область,Белгород,3,Без осадков,15,24.05.2021,26
7,53.2420071,34.3652716,Брянская область,Брянск,2,Без осадков,12,24.05.2021,22
8,56.1281561,40.4082995,Владимирская область,Владимир,1,Дождь,7,24.05.2021,21
9,48.7072005,44.5170207,Волгоградская область,Волгоград,1,Без осадков,18,24.05.2021,26
10,59.2484186,39.8356461,Вологодская область,Вологда,4,Дождь,7,24.05.2021,19
11,51.6592378,39.1968284,Воронежская область,Воронеж,3,,16,24.05.2021,26
12,55.7538789,37.6203735,г. Москва,Москва,7,,16,24.05.2021,23
13,59.939125,30.3158225,г. Санкт-Петербург,Санкт-Петербург,12,,16,24.05.2021,13
14,48.7945975,132.9217594,Еврейская автономная область,Биробиджан,3,Без осадков,16,24.05.2021,26
15,52.0340128,113.4994884,Забайкальский край,Чита,5,,19,24.05.2021,24
16,56.9994677,40.9728231,Ивановская область,Иваново,2,,8,24.05.2021,22
17,52.2863513,104.280655,Иркутская область,Иркутск,2,,23,24.05.2021,27
18,43.4846312,43.6070316,Кабардино-Балкарская Республика,Нальчик,1,,13,24.05.2021,24
19,54.7073218,20.5072458,Калининградская область,Калининград,8,,15,24.05.2021,23
20,54.5060439,36.2515933,Калужская область,Калуга,1,Дождь,10,24.05.2021,21
21,53.0370213,158.6559142,Камчатский край,Петропавловск-Камчатский,3,Без осадков,12,24.05.2021,21
22,44.2268637,42.0467829,Карачаево-Черкесская Республика,Черкесск,5,,16,24.05.2021,23
23,55.3909721,86.0467864,Кемеровская область,Кемерово,2,Без осадков,23,24.05.2021,27
24,58.6035313,49.6679219,Кировская область,Киров,2,Без осадков,12,24.05.2021,22
25,57.8029445,40.9907282,Костромская область,Кострома,3,Дождь,7,24.05.2021,20
26,45.040235,38.9760801,Краснодарский край,Краснодар,2,Без осадков,18,24.05.2021,26
27,56.009466,92.8524162,Красноярский край,Красноярск,3,,25,24.05.2021,28
28,55.4443448,65.3161339,Курганская область,Курган,2,Без осадков,29,24.05.2021,31
29,51.7303391,36.1926448,Курская область,Курск,1,,14,24.05.2021,24
30,59.5650861,30.1281859,Ленинградская область,Гатчина,2,Без осадков,18,24.05.2021,26
31,52.6103027,39.5946266,Липецкая область,Липецк,5,Без осадков,20,24.05.2021,15
32,59.5681763,150.8085289,Магаданская область,Магадн,6,,5,24.05.2021,20
33,55.8318475,37.32942,Московская область,Красногорск,2,Без осадков,9,24.05.2021,21
34,69.0076958,33.0686019,Мурманская область,Мурманск,4,Без осадков,19,24.05.2021,25
35,67.6381525,53.0069336,Ненецкий автономный округ,Нарьян-Мар,4,Без осадков,12,24.05.2021,21
36,56.3242093,44.0053948,Нижегородская область,Нижний Новгород,1,,9,24.05.2021,21
37,58.5214003,31.2755051,Новгородская область,Великиий Новгород,4,Без осадков,17,24.05.2021,24
38,55.0281016,82.9210575,Новосибирская область,Новосибирск,1,,19,24.05.2021,26
39,54.9848136,73.3674638,Омская область,Омск,2,Без осадков,25,24.05.2021,27
40,51.7875191,55.1017379,Оренбургская область,Оренбург,4,,24,24.05.2021,26
41,52.9672573,36.0696479,Орловская область,Орёл,2,Без осадков,15,24.05.2021,26
